allocator_fraction,allocator_limit_mib,batch_size,causal,cold_start_ms,dtype,error,head_dim,implementation,key_tile,matrix,num_stages,num_warps,p20_ms,p50_ms,p80_ms,peak_allocated_mib,peak_reserved_mib,phase,query_tile,rep_ms,sequence_length,speedup_vs_eager,status,warmup_ms
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,0.028672000393271446,0.028672000393271446,0.029632000252604485,265.9375,278.0,forward,,300,512,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,0.03347200155258179,0.03379200026392937,0.034015998244285583,274.875,280.0,backward,,300,512,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,0.2088959962129593,0.21094399690628052,0.21503999829292297,275.6875,280.0,forward_backward,,300,512,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,0.030719999223947525,0.030719999223947525,0.03139200061559677,266.25,280.0,forward,,300,512,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,0.03788800165057182,0.03891199827194214,0.039744000881910324,275.25,280.0,backward,,300,512,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,0.21068799495697021,0.21372799575328827,0.2178111970424652,276.125,282.0,forward_backward,,300,512,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,0.10239999741315842,0.10239999741315842,0.10342399775981903,289.375,298.0,forward,,300,2048,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,0.09801600128412247,0.09830400347709656,0.09932799637317657,309.75,340.0,backward,,300,2048,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,0.23449599742889404,0.24473600089550018,0.3251839876174927,322.0,340.0,forward_backward,,300,2048,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,0.1085439994931221,0.10956799983978271,0.10977920144796371,290.625,300.0,forward,,300,2048,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,0.1074879989027977,0.10751999914646149,0.1085439994931221,311.25,342.0,backward,,300,2048,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,0.20951040089130402,0.21196800470352173,0.21503999829292297,323.75,342.0,forward_backward,,300,2048,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,1.7377279996871948,1.7448960542678833,1.7489919662475586,653.125,666.0,forward,,300,8192,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,2.4033279418945312,2.4043519496917725,2.40632963180542,854.25,926.0,backward,,300,8192,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,eager,,core,,,4.063231945037842,4.066112041473389,4.067327976226807,1047.25,1182.0,forward_backward,,300,8192,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,1.7571840286254883,1.7594560384750366,1.7623039484024048,658.125,662.0,forward,,300,8192,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,2.437119960784912,2.4391679763793945,2.4414079189300537,860.25,918.0,backward,,300,8192,1.0,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,128,eager,,core,,,4.132863998413086,4.134912014007568,4.137983798980713,1054.25,1174.0,forward_backward,,300,8192,1.0,ok,100
0.48421737046550567,23552,1,True,2360.927954316139,bfloat16,,64,compiled,,core,,,0.013311999849975109,0.013376000337302685,0.014336000196635723,264.9375,278.0,forward,,300,512,2.1435406452040544,ok,100
0.48421737046550567,23552,1,True,,bfloat16,,64,compiled,,core,,,0.024927999824285507,0.025599999353289604,0.025631999596953392,273.75,278.0,backward,,300,512,1.3200000436557469,ok,100
